,행사명,개최장소,시작일자,종료일자,행사내용,홈페이지주소,전화번호,주관기관,주최기관,도로명주소,지번주소,위도,경도
0,별밤포차,상주은모래비치,2022-04-01,2022-12-31,별밤포차4개소운영 및 공연,http://tour.namhae.go.kr/main.web,055-860-8603,상주번영회,경상남도 남해군,경상남도 남해군 상주면 상주로 10-3,경상남도 남해군 상주면 상주리 1136-1,34.7222114298,127.9874444630
1,강릉단오제,강릉시 남대천 단오장 및 지정행사장,2022-05-30,2022-06-06,"문화재행사, 단오TV, 전시, 시민참여행사, 단오유스페스티벌, 온라인 챌린지 행사 등",http://www.danojefestival.or.kr,033-641-1593,(사)강릉단오제위원회(사)강릉단오제보존회 외,"(사)강릉단오제위원회,(사)강릉단오제보존회",강원도 강릉시 단오장길 1 (노암동),강원도 강릉시 노암동 722-2,37.74820212,128.8950714
2,제9회 낙동강 구포나루 축제(2022년 하반기 예정),화명생태공원 선착장 일원,2022-06-01,2022-12-31,밀사리체험/바비큐체험/구포국수체험 등,http://www.guponarufes.co.kr,051-309-4522,(사)북구문화관광축제조직위원회,(사)북구문화관광축제조직위원회,부산광역시 북구 낙동대로1570번길 33(구포동),부산광역시 북구 구포동 1124-1,35.19688402,128.9900968
