,행사명,개최장소,시작일자,종료일자,행사내용,홈페이지주소,전화번호,주관기관,주최기관,도로명주소,지번주소,위도,경도
0,별밤포차,상주은모래비치,2022-04-01,2022-12-31,별밤포차4개소운영 및 공연,http://tour.namhae.go.kr/main.web,055-860-8603,상주번영회,경상남도 남해군,경상남도 남해군 상주면 상주로 10-3,경상남도 남해군 상주면 상주리 1136-1,34.7222114298,127.9874444630
1,강릉단오제,강릉시 남대천 단오장 및 지정행사장,2022-05-30,2022-06-06,"문화재행사, 단오TV, 전시, 시민참여행사, 단오유스페스티벌, 온라인 챌린지 행사 등",http://www.danojefestival.or.kr,033-641-1593,(사)강릉단오제위원회(사)강릉단오제보존회 외,"(사)강릉단오제위원회,(사)강릉단오제보존회",강원도 강릉시 단오장길 1 (노암동),강원도 강릉시 노암동 722-2,37.74820212,128.8950714
2,제9회 낙동강 구포나루 축제(2022년 하반기 예정),화명생태공원 선착장 일원,2022-06-01,2022-12-31,밀사리체험/바비큐체험/구포국수체험 등,http://www.guponarufes.co.kr,051-309-4522,(사)북구문화관광축제조직위원회,(사)북구문화관광축제조직위원회,부산광역시 북구 낙동대로1570번길 33(구포동),부산광역시 북구 구포동 1124-1,35.19688402,128.9900968
3,봉래산발복기원제,봉래산 헬기장,2022-06-11,2022-06-11,"개회식, 기원제, 길놀이, 의식공연, 음복례 등",http://www.yeongdo.go.kr/main.web,051-419-5722,봉래산발복기원제추진위원회,봉래산발복기원제추진위원회,부산광역시 영도구 벚꽃길 1,부산광역시 영도구 청학동 산54-4,35.08646003,129.0590783
4,수국꽃 문화축제,태종대 내 태종사 일원,2022-07-02,2022-07-10,"개막식, 수국꽃 관람, 꽃밭포토존, 꽃밭버스킹, 꽃밭냉면시식회, 힐링체험프로그램(6종), 아트(프리)마켓 운영",http://www.yeongdo.go.kr/main.web,051-419-4064,수국축제추진위원회,대한불교조계종 태종사,부산광역시 영도구 전망로 119,부산광역시 영도구 동삼동 산29-4,35.05597301,129.0897518
5,서창만드리 풍년제,서구 서창동 한옥문화관 일원,2022-07-25,2022-08-12,"의식행사, 들노래 만드리 재현, 문화예술공연, 전통문화 체험부스 운영 등",https://www.seogu.gwangju.kr/menu.es?mid=a70302000000,062-350-4988,광주광역시 서구,미정,광주광역시 서구 서창발산길 10(서창동),광주광역시 서구 서창동 424-1,35.1071746,126.8231387
6,부산국제록페스티벌,삼락생태공원,2022-07-30,2022-07-31,(기간미확정)록밴드 초청공연 등,http://www.bfo.or.kr/main/index.asp,051-888-5221,(사)부산문화관광축제조직위원회,부산광역시,-,부산광역시 사상구 삼락동 29-46,35.16915853,128.9735488
7,현인가요제,송도해수욕장,2022-08-04,2022-08-07,"개막행사, 현인가요제 전야제, 현인가요제 본선",http://culture.bsseogu.go.kr,02-2655-3157,(사)한국연예예술인협회,(사)한국연예예술인협회,부산광역시 서구 송도해변로 100,부산광역시 서구 암남동 135-5,35.07682117,129.0180502
8,부산바다축제,"부산전역,온라인",2022-08-06,2022-08-15,(기간미확정)100여개의 공간에서 펼쳐지는 다양한 문화콘텐츠,http://www.bfo.or.kr/main/index.asp,051-888-5224,(사)부산문화관광축제조직위원회,부산광역시,부산광역시 연제구 중앙대로 1001,부산광역시 연제구 연산동 1000,35.17992893,129.0750915
9,제천국제음악영화제,"시내일원, 의림지",2022-08-12,2022-08-17,음악영화제,http://www.jimff.org,043-646-2242,제천국제음악영화제집행위원회,제천국제음악영화제집행위원회,충청북도 제천시 의림대로12길 14-1,충청북도 제천시 청전동 110,37.1493417,128.2160865
10,전국청소년댄스페스티벌 꿈을 향한 무승부,의정부시청소년수련관,2022-09-17,2022-09-17,퍼포먼스 댄스경연대회 및 축하공연 등,http://www.uiyouth.or.kr,031-828-9544,의정부시청소년수련관+기호일보,의정부시청소년재단,경기도 의정부시 의정로 27,경기도 의정부시 의정부동 352,37.73517724,127.0338894
11,제10회 부산진구 북페스티벌,부산시민공원 일대,2022-10-01,2022-10-02,"개막식(공연), 체험부스, 도서 전시 및 열람 등",https://www.busanjin.go.kr/index.busanjin?menuCd=DOM_000001003003005000,051-605-6271,부산광역시 부산진구청,부산광역시 부산진구청,부산광역시 부산진구 시민공원로30 (범전동),부산광역시 부산진구 부암동 666-16,35.16283064,129.053188
12,선사문화체험축제,한샘청동공원,2022-10-07,2022-10-08,선사테마축제 및 체험프로그램 운영 등,http://artko16.netto.kr/,053-667-2194,달서구문화원,달서구문화원,대구광역시 달서구 월암로 23,대구광역시 달서구 대천동 353-5,35.82034773,128.5192255
13,영산강 서창들녁 억새축제,영산강(극락교~서창교 3.5km)일원,2022-10-07,2022-10-10,"공식행사, 포토존, 비대면 공연, 온라인전시, 부대행사 등",http://www.sgfesta.co.kr,062-350-4792,광주광역시 서구,광주광역시 서구,광주광역시 서구 서창둑길 377(벽진동),광주광역시 서구 벽진동 505-1,35.13849504,126.828739
14,동래읍성역사축제,"동래문화회관,읍성광장,온천장 일원",2022-10-14,2022-10-16,"동래부사행차 길놀이,동래성 전투 뮤지컬,동래세가닥줄다리기,동래장터 체험 등",https://www.dongnae.go.kr/festival/index.dongnae?contentsSid=169,051-550-4092,동래문화원+동래읍성역사축제추진위원회,동래구청,부산광역시 동래구 문화로 80(명륜동),부산광역시 동래구 명륜동 137,35.21195069,129.090546
15,영도다리축제,"아미르공원, 영도일원",2022-10-14,2022-10-16,"개막주제공연, 축하공연, 불꽃쇼, 퍼레이드, 체험행사 등",http://www.yeongdo.go.kr/ydfestival.web,051-419-4064,영도문화원,부산광역시 영도구청,부산광역시 영도구 해양로301번길 55,부산광역시 영도구 동삼동 1165,35.07714964,129.0820101
16,제20회광안리어방축제,수영구 광안리해변 일원,2022-10-14,2022-10-16,"뮤지컬어방, 경상좌수사행렬전시 등",www.suyeong.go.kr/eobang,051-610-4062,수영구,수영구축제위원회,부산광역시 수영구 남천동로100,부산광역시 수영구 남천동148-15,35.14537016,129.1123694
17,제천의병제,자양영당 등,2022-10-15,2022-10-16,의병제,http://www.jecheoncc.or.kr,043-642-3646,제천문화원,제천문화원,충청북도 제천시 의림대로 125,충청북도 제천시 중앙로2가 26-1,37.13923321,128.210774
18,부산고등어축제,송도해수욕장 및 부산공동어시장 일원,2022-10-21,2022-10-23,"개막행사, 맨손 고등어잡기, 부산공동어시장 현장체험, 카약 타고 고등어 찾기, 고등어 종이배 경주대회, 전국 고등어요리 경연, 먹거리 한마당 등",http://culture.bsseogu.go.kr,051-240-4062,(사)부산서구문화원,"부산광역시 서구, 대형선망수협",부산광역시 서구 송도해변로 100,부산광역시 서구 암남동 135-5,35.07682117,129.0180502
19,서면메티컬스트리트 축제,서면 메티컬 스트리트 일원,2022-10-22,2022-10-23,"VIP리셉션,  개막식,  홍보부스 운영, 비즈니스 미팅",https://www.busanjin.go.kr/index.busanjin?menuCd=DOM_000001003003006000,051-605-6022,부산광역시 부산진구청,(사)서면메디컬스트리트 의료관광 협의회,부산광역시 부산진구 시민공원로30 (범전동),부산광역시 부산진구 부암동 666-16,35.16283064,129.053188
20,전포커피축제,전포카페거리 일원,2022-10-28,2022-10-29,"전포 코오피 스쿨, 아바타투어 등 부산진구 SNS를 활용한 다양한 체험,이벤트 프로그램 운영",https://www.busanjin.go.kr/index.busanjin?menuCd=DOM_000001003003006000,051-605-4524,부산광역시 부산진구청,부산광역시 부산진구청,부산광역시 부산진구 동천로 92(전포동),부산광역시 부산진구 전포동 668-1,35.1570356,129.0630291
