,행사명,개최장소,시작일자,종료일자,행사내용,홈페이지주소,전화번호,주관기관,주최기관,도로명주소,지번주소,위도,경도
0,2022년 제18회 해운대모래축제,해운대 해수욕장,2022-05-20,2022-05-23,"모래작품 전시 및 체험프로그램, 플라워카펫 등",-,051-749-4062,부산광역시 해운대구청+(사)해운대문화관광협의회,부산광역시 해운대구청,부산광역시 해운대구 해운대해변로 264,부산광역시 해운대구 중동 1415-49,35.15910698,129.1602838
1,제9회 낙동강 구포나루 축제(2022년 하반기 예정),화명생태공원 선착장 일원,2022-06-01,2022-12-31,밀사리체험/바비큐체험/구포국수체험 등,http://www.guponarufes.co.kr,051-309-4522,(사)북구문화관광축제조직위원회,(사)북구문화관광축제조직위원회,부산광역시 북구 낙동대로1570번길 33(구포동),부산광역시 북구 구포동 1124-1,35.19688402,128.9900968
2,봉래산발복기원제,봉래산 헬기장,2022-06-11,2022-06-11,"개회식, 기원제, 길놀이, 의식공연, 음복례 등",http://www.yeongdo.go.kr/main.web,051-419-5722,봉래산발복기원제추진위원회,봉래산발복기원제추진위원회,부산광역시 영도구 벚꽃길 1,부산광역시 영도구 청학동 산54-4,35.08646003,129.0590783
3,수국꽃 문화축제,태종대 내 태종사 일원,2022-07-02,2022-07-10,"개막식, 수국꽃 관람, 꽃밭포토존, 꽃밭버스킹, 꽃밭냉면시식회, 힐링체험프로그램(6종), 아트(프리)마켓 운영",http://www.yeongdo.go.kr/main.web,051-419-4064,수국축제추진위원회,대한불교조계종 태종사,부산광역시 영도구 전망로 119,부산광역시 영도구 동삼동 산29-4,35.05597301,129.0897518
4,부산국제록페스티벌,삼락생태공원,2022-07-30,2022-07-31,(기간미확정)록밴드 초청공연 등,http://www.bfo.or.kr/main/index.asp,051-888-5221,(사)부산문화관광축제조직위원회,부산광역시,-,부산광역시 사상구 삼락동 29-46,35.16915853,128.9735488
5,현인가요제,송도해수욕장,2022-08-04,2022-08-07,"개막행사, 현인가요제 전야제, 현인가요제 본선",http://culture.bsseogu.go.kr,02-2655-3157,(사)한국연예예술인협회,(사)한국연예예술인협회,부산광역시 서구 송도해변로 100,부산광역시 서구 암남동 135-5,35.07682117,129.0180502
6,부산바다축제,"부산전역,온라인",2022-08-06,2022-08-15,(기간미확정)100여개의 공간에서 펼쳐지는 다양한 문화콘텐츠,http://www.bfo.or.kr/main/index.asp,051-888-5224,(사)부산문화관광축제조직위원회,부산광역시,부산광역시 연제구 중앙대로 1001,부산광역시 연제구 연산동 1000,35.17992893,129.0750915
7,제10회 부산진구 북페스티벌,부산시민공원 일대,2022-10-01,2022-10-02,"개막식(공연), 체험부스, 도서 전시 및 열람 등",https://www.busanjin.go.kr/index.busanjin?menuCd=DOM_000001003003005000,051-605-6271,부산광역시 부산진구청,부산광역시 부산진구청,부산광역시 부산진구 시민공원로30 (범전동),부산광역시 부산진구 부암동 666-16,35.16283064,129.053188
8,영도다리축제,"아미르공원, 영도일원",2022-10-14,2022-10-16,"개막주제공연, 축하공연, 불꽃쇼, 퍼레이드, 체험행사 등",http://www.yeongdo.go.kr/ydfestival.web,051-419-4064,영도문화원,부산광역시 영도구청,부산광역시 영도구 해양로301번길 55,부산광역시 영도구 동삼동 1165,35.07714964,129.0820101
9,동래읍성역사축제,"동래문화회관,읍성광장,온천장 일원",2022-10-14,2022-10-16,"동래부사행차 길놀이,동래성 전투 뮤지컬,동래세가닥줄다리기,동래장터 체험 등",https://www.dongnae.go.kr/festival/index.dongnae?contentsSid=169,051-550-4092,동래문화원+동래읍성역사축제추진위원회,동래구청,부산광역시 동래구 문화로 80(명륜동),부산광역시 동래구 명륜동 137,35.21195069,129.090546
10,제20회광안리어방축제,수영구 광안리해변 일원,2022-10-14,2022-10-16,"뮤지컬어방, 경상좌수사행렬전시 등",www.suyeong.go.kr/eobang,051-610-4062,수영구,수영구축제위원회,부산광역시 수영구 남천동로100,부산광역시 수영구 남천동148-15,35.14537016,129.1123694
11,부산고등어축제,송도해수욕장 및 부산공동어시장 일원,2022-10-21,2022-10-23,"개막행사, 맨손 고등어잡기, 부산공동어시장 현장체험, 카약 타고 고등어 찾기, 고등어 종이배 경주대회, 전국 고등어요리 경연, 먹거리 한마당 등",http://culture.bsseogu.go.kr,051-240-4062,(사)부산서구문화원,"부산광역시 서구, 대형선망수협",부산광역시 서구 송도해변로 100,부산광역시 서구 암남동 135-5,35.07682117,129.0180502
12,서면메티컬스트리트 축제,서면 메티컬 스트리트 일원,2022-10-22,2022-10-23,"VIP리셉션,  개막식,  홍보부스 운영, 비즈니스 미팅",https://www.busanjin.go.kr/index.busanjin?menuCd=DOM_000001003003006000,051-605-6022,부산광역시 부산진구청,(사)서면메디컬스트리트 의료관광 협의회,부산광역시 부산진구 시민공원로30 (범전동),부산광역시 부산진구 부암동 666-16,35.16283064,129.053188
13,전포커피축제,전포카페거리 일원,2022-10-28,2022-10-29,"전포 코오피 스쿨, 아바타투어 등 부산진구 SNS를 활용한 다양한 체험,이벤트 프로그램 운영",https://www.busanjin.go.kr/index.busanjin?menuCd=DOM_000001003003006000,051-605-4524,부산광역시 부산진구청,부산광역시 부산진구청,부산광역시 부산진구 동천로 92(전포동),부산광역시 부산진구 전포동 668-1,35.1570356,129.0630291
14,부산불꽃축제,광안리해변,2022-11-05,2022-11-05,"(기간미확정)해외초청 불꽃쇼, 첨단멀티 불꽃쇼",http://www.bfo.or.kr/main/index.asp,051-888-5222,(사)부산문화관광축제조직위원회,부산광역시,부산광역시 수영구 광안해변로 219,부산광역시 수영구 광안동 192-16,35.15377357,129.1185161
15,부산시민 희망의 빛드림 페스티벌,부산시민공원 일대,2022-12-01,2023-01-31,경관 조명 설치 및 점등식 개최,https://www.busanjin.go.kr/index.busanjin?menuCd=DOM_000001003003006000,051-605-4522,부산광역시 부산진구청,부산광역시 부산진구청,부산광역시 부산진구 시민공원로30 (범전동),부산광역시 부산진구 부암동 666-16,35.16283064,129.053188
16,부산시민의종 타종식,용두산공원,2022-12-31,2023-01-01,"시민의종 타종, 문화공연",http://www.bfo.or.kr/main/index.asp,051-888-5224,(사)부산문화관광축제조직위원회,부산광역시,부산광역시 중구 용두산길 37-55(광복동2가),부산광역시 중구 동광동2가 17-6,35.10093242,129.0324385
17,2023 해운대 카운트다운 해맞이축제,해운대 해수욕장,2022-12-31,2023-01-01,"카운트다운 행사, 해맞이 행사, 부대 프로그램 등",-,051-749-4062,부산광역시 해운대구청,부산광역시 해운대구청,부산광역시 해운대구 해운대해변로 264,부산광역시 해운대구 중동 1415-49,35.15910698,129.1602838
